"nazev","adresa"
"Základní škola Bystřice nad Pernštejnem, Tyršova 106","Tyršova 106 , Bystřice nad Pernštejnem 593 01"
"Základní škola a Praktická škola Velké Meziříčí","Poštovní 1663 , Velké Meziříčí 594 01"
"Základní škola při dětské psychiatrické nemocnici Velká Bíteš","U Stadionu 285 , Velká Bíteš 595 01"
"Základní škola a Střední škola Březejc, Sviny 13","13 , Sviny 594 01"
"Základní škola, Rýmařov, Školní náměstí 1, příspěvková organizace","Školní náměstí 206 , Rýmařov 795 01"
"Základní škola, Bruntál, Rýmařovská 15, příspěvková organizace","Rýmařovská 769 , Bruntál 792 01"
"Střední škola, Základní škola a Mateřská škola, Karviná, příspěvková organizace","Komenského 614 , Karviná 735 06"
"Střední škola a Základní škola, Havířov-Šumbark, příspěvková organizace","Školní 601 , Havířov 736 01"
"Základní škola a Mateřská škola, Nový Jičín, Dlouhá 54, příspěvková organizace","Dlouhá 1995 , Nový Jičín 741 01"
"Základní škola, Frenštát pod Radhoštěm, Tyršova 1053, příspěvková organizace","Tyršova 1053 , Frenštát pod Radhoštěm 744 01"
"Základní škola Floriána Bayera, Kopřivnice, Štramberská 189, příspěvková organizace","Štramberská 189 , Kopřivnice 742 21"
"Základní škola a Mateřská škola při lázních, Klimkovice, příspěvková organizace","24 , Klimkovice 742 83"
"Základní škola a Mateřská škola Motýlek, Kopřivnice, Smetanova 1122, příspěvková organizace","Smetanova 1122 , Kopřivnice 742 21"
"Základní škola speciální a Mateřská škola speciální, Nový Jičín, Komenského 64, příspěvková organizace","Komenského 509 , Nový Jičín 741 01"
"Základní škola, Dětský domov a Školní jídelna Litovel","Palackého 938 , Litovel 784 01"
"Základní škola Šternberk, Olomoucká 76","Olomoucká 2098 , Šternberk 785 01"
"Základní škola Uničov, Šternberská 456","Šternberská 456 , Uničov 783 91"
"Střední škola, Základní škola a Mateřská škola prof. V. Vejdovského Olomouc - Hejčín","Tomkova 411 , Olomouc 779 00"
"Střední škola, základní škola a mateřská škola pro sluchově postižené, Olomouc, Kosmonautů 4","tř. Kosmonautů 881 , Olomouc 779 00"
"Základní škola a Mateřská škola logopedická Olomouc","tř. Svornosti 900 , Olomouc 779 00"
"Střední škola a Základní škola DC 90, s.r.o.","Nedbalova 36 , Olomouc 779 00"
"Základní škola a Střední škola CREDO, o.p.s.","Mozartova 1161 , Olomouc 779 00"
"Základní škola speciální Jasněnka, o.p.s.","Jiráskova 772 , Uničov 783 91"
"Základní škola, Hlučín, Gen. Svobody 8, příspěvková organizace","Gen. Svobody 228 , Hlučín 748 01"
"Základní škola pro tělesně postižené, Opava, Dostojevského 12","Dostojevského 1669 , Opava 746 01"
"Základní škola, Vítkov, nám. J. Zajíce č. 1, příspěvková organizace","náměstí Jana Zajíce 1 , Vítkov 749 01"
"Základní škola a Mateřská škola pro sluchově postižené a vady řeči, Ostrava-Poruba, příspěvková organizace","Spartakovců 1153 , Ostrava 708 00"
"Základní škola speciální, Ostrava-Slezská Ostrava, příspěvková organizace","Těšínská 41 , Ostrava 710 00"
"Mateřská škola, základní škola speciální a praktická škola Diakonie ČCE Ostrava","U Cementárny 1293 , Ostrava 703 00"
"Základní škola, Ostrava-Poruba, Čkalovova 942, příspěvková organizace","Čkalovova 942 , Ostrava 708 00"
"Základní škola, Ostrava-Zábřeh, Kpt. Vajdy 1a, příspěvková organizace","Kpt. Vajdy 2656 , Ostrava 700 30"
"Soukromá základní škola speciální pro žáky s více vadami, Ostrava, s.r.o.","Železárenská 880 , Ostrava 709 00"
"Základní škola, Ostrava-Výškovice, s.r.o.","29. dubna 259 , Ostrava 700 30"
"Odborné učiliště a Základní škola, Křenovice","8 , Křenovice 752 01"
"Střední škola, Základní škola a Mateřská škola Přerov, Malá Dlážka 4","Malá Dlážka 589 , Přerov 750 02"
"Základní škola a Mateřská škola - Dětské centrum Hranice, pobočný spolek pro pomoc postiženým dětem","Struhlovsko 1424 , Hranice 753 01"
"Základní škola a Mateřská škola Hranice, Studentská 1095","Studentská 1095 , Hranice 753 01"
"Střední škola, Základní škola a Mateřská škola Lipník nad Bečvou, Osecká 301","Osecká 301 , Lipník nad Bečvou 751 31"
"Základní škola a Mateřská škola při lázních, Velké Losiny","Lázeňská 323 , Velké Losiny 788 15"
"Střední škola, Základní škola, Mateřská škola a Dětský domov Zábřeh","Sušilova 1912 , Zábřeh 789 01"
"Střední škola, Základní škola a Mateřská škola Šumperk, Hanácká 3","Hanácká 145 , Šumperk 787 01"
"Základní škola pro žáky se specifickými poruchami učení a mateřská škola logopedická Schola Viva, o.p.s.","Erbenova 2298 , Šumperk 787 01"
"Základní škola a střední škola Pomněnka o.p.s.","Šumavská 1915 , Šumperk 787 01"
"Základní škola Halenkov 25","25 , Halenkov 756 03"
"Základní škola Horní Lideč 130","130 , Horní Lideč 756 12"
"Mateřská škola, základní škola a střední škola pro sluchově postižené, Valašské Meziříčí, Vsetínská 454","Vsetínská 454 , Valašské Meziříčí 757 01"
"Základní škola Rožnov pod Radhoštěm, Tyršovo nábřeží","Tyršovo nábřeží 649 , Rožnov pod Radhoštěm 756 61"
"Základní škola a Mateřská škola při Priessnitzových léčebných lázních a.s., Jeseník","Kalvodova 360 , Jeseník 790 01"
"Základní škola a Mateřská škola při Sanatoriu Edel Zlaté Hory","Lázeňská 491 , Zlaté Hory 793 76"
"Základní škola a Mateřská škola Jeseník, Fučíkova 312","Fučíkova 312 , Jeseník 790 01"
"Jedličkův ústav a Mateřská škola a Základní škola a Střední škola","V pevnosti 13 , Praha 128 00"
"Dětský domov se školou, středisko výchovné péče a základní škola, Praha 2, Jana Masaryka 16","Jana Masaryka 64 , Praha 120 00"
"Dětský diagnostický ústav, základní škola a školní jídelna, Praha 4, U Michelského lesa 222","U Michelského lesa 222 , Praha 140 00"
"Dětský domov se školou, středisko výchovné péče a základní škola, Býchory","152 , Býchory 280 02"
"Dětský domov se školou, základní škola a školní jídelna, Liběchov, Rumburská 54","Rumburská 54 , Liběchov 277 21"
"Dětský domov, Praktická škola, Základní škola a Mateřská škola Nymburk, příspěvková organizace","Palackého třída 515 , Nymburk 288 02"
"Dětský domov se školou, středisko výchovné péče, základní škola a školní jídelna Dobřichovice","Pražská 151 , Dobřichovice 252 29"
"Dětský diagnostický ústav, dětský domov se školou, středisko výchovné péče, základní škola a školní jídelna, Homole 90","Budějovická 90 , Homole 370 01"
"Dětský domov, Základní škola a Školní jídelna, Horní Planá, Sídliště Míru 40","Sídliště Míru 40 , Horní Planá 382 26"
"Výchovný ústav, dětský domov se školou, střední škola, základní škola a školní jídelna, Počátky, Horní 617","Horní 617 , Počátky 394 64"
"Výchovný ústav, dětský domov se školou, základní škola, střední škola a školní jídelna, Hostouň, Chodské náměstí 131","Chodské náměstí 131 , Hostouň 345 25"
"Dětský domov se školou, základní škola a školní jídelna Žlutice, Jiráskova 344","Jiráskova 344 , Žlutice 364 52"
"Dětský diagnostický ústav, středisko výchovné péče, základní škola a školní jídelna, Plzeň, Karlovarská 67","Karlovarská 459 , Plzeň 323 00"
"Výchovný ústav, střední škola a základní škola Terešov, příspěvková organizace","1 , Terešov 338 08"
"Dětský domov se školou, základní škola a školní jídelna, Hamr na Jezeře, Školní 89","Školní 89 , Hamr na Jezeře 471 28"
"Dětský domov se školou, základní škola a středisko výchovné péče Jiříkov","Čapkova 814 , Jiříkov 407 53"
"Výchovný ústav, dětský domov se školou, středisko výchovné péče, základní škola, střední škola a školní jídelna, Děčín XXXII, Vítězství 70","Vítězství 70 , Děčín 407 11"
"Dětský diagnostický ústav, středisko výchovné péče a základní škola, Liberec","U Opatrovny 444 , Liberec 460 01"
"Dětský domov se školou, základní škola a školní jídelna, Chrastava, Školní 438 Příspěvková organizace","Školní 438 , Chrastava 463 31"
"Dětský domov, Základní škola praktická, Praktická škola a Školní jídelna, Dlažkovice 1, příspěvková organizace","1 , Dlažkovice 411 15"
"Výchovný ústav, dětský domov se školou, středisko výchovné péče, základní škola a střední škola Kostomlaty pod Milešovkou, státní příspěvková organizace","Požárnická 168 , Kostomlaty pod Milešovkou 417 54"
"Dětský diagnostický ústav, středisko výchovné péče, základní škola a školní jídelna, Hradec Králové, Říčařova 277","Říčařova 277 , Hradec Králové 503 01"
"Dětský domov se školou, středisko výchovné péče a základní škola, Chrudim, Čáslavská 624","Čáslavská 624 , Chrudim 537 01"
"Dětský domov se školou a základní škola, Kostelec nad Orlicí, Tyršova 7","Tyršova 7 , Kostelec nad Orlicí 517 41"
"Dětský domov se školou, základní škola a školní jídelna, Vrchlabí, Al. Jiráska 617","Al. Jiráska 617 , Vrchlabí 543 01"
"Dětský domov se školou, základní škola a školní jídelna, Horní Maršov, Temný Důl 16","16 , Horní Maršov 542 26"
"Dětský domov, základní škola a školní jídelna, Dolní Lánov 240","240 , Dolní Lánov 543 41"
"Diagnostický ústav Brno, středisko výchovné péče a základní škola, Brno, Hlinky 140","Hlinky 55 , Brno 603 00"
"Dětský domov se školou, středisko výchovné péče a základní škola, Jihlava","Dělnická 320 , Jihlava 586 01"
"Dětský domov se školou, základní škola a školní jídelna, Bystřice pod Hostýnem, Havlíčkova 547","Havlíčkova 547 , Bystřice pod Hostýnem 768 61"
"Výchovný ústav, středisko výchovné péče HELP, základní škola a střední škola, Střílky, Zámecká 107","Zámecká 107 , Střílky 768 04"
"Výchovný ústav, dětský domov se školou, středisko výchovné péče, střední škola a základní škola, Moravský Krumlov","Nádražní 698 , Moravský Krumlov 672 01"
"Výchovný ústav, základní škola, střední škola a středisko výchovné péče, Velké Meziříčí, K Rakůvkám 1","K Rakůvkám 916 , Velké Meziříčí 594 01"
"Dětský diagnostický ústav, základní škola a školní jídelna, Bohumín - Šunychl 463","Šunychelská 463 , Bohumín 735 81"
"Dětský domov se školou a základní škola, Těrlicko-Horní Těrlicko","Promenádní 561 , Těrlicko 735 42"
"Výchovný ústav, základní škola, střední škola a středisko výchovné péče, Nový Jičín, Divadelní 12. Příspěvková organizace","Divadelní 881 , Nový Jičín 741 01"
"Dětský diagnostický ústav, středisko výchovné péče, základní škola a školní jídelna, Olomouc - Svatý Kopeček, Ústavní 9","Ústavní 97 , Olomouc 779 00"
"Diagnostický ústav pro mládež, dětský domov se školou, středisko výchovné péče a základní škola, Ostrava - Kunčičky","Škrobálkova 206 , Ostrava 718 00"
"Dětský domov se školou, základní škola a školní jídelna, Veselíčko 1","1 , Veselíčko 751 25"
"Dětský domov se školou, základní škola a středisko výchovné péče, Šumperk","Vyhlídka 369 , Šumperk 787 01"
"Malostranská základní škola","Josefská 626 , Praha 118 00"
"Základní škola nám. Curieových","náměstí Curieových 886 , Praha 110 00"
"Základní škola Brána jazyků s rozšířenou výukou matematiky","Uhelný trh 425 , Praha 110 00"
"Základní škola Vodičkova","Vodičkova 683 , Praha 110 00"
"Základní škola J. Gutha-Jarkovského","Truhlářská 1120 , Praha 110 00"
"Základní škola, Fakultní škola Pedagogické fakulty UK, Praha 2, Slovenská 27","Slovenská 1726 , Praha 120 00"
"Základní škola, Praha 2, Jana Masaryka 21","Jana Masaryka 400 , Praha 120 00"
"Základní škola a mateřská škola, Praha 2, Na Smetance 1","Na Smetance 505 , Praha 120 00"
"Základní škola, Praha 2, Sázavská 5","Sázavská 830 , Praha 120 00"
"Základní škola, Praha 2, Botičská 8","Botičská 130 , Praha 128 00"
"Základní škola s rozšířenou výukou jazyků, Fakultní škola Pedagogické fakulty UK, Praha 2, Kladská 1","Kladská 1201 , Praha 120 00"
"Základní škola a Mateřská škola, Praha 2, Resslova 10","Resslova 308 , Praha 120 00"
"Základní škola, Praha 2, Londýnská 34","Londýnská 782 , Praha 120 00"
"Základní škola u svatého Štěpána, Praha 2, Štěpánská 8","Štěpánská 1286 , Praha 120 00"
"Základní škola, Praha 2, Vratislavova 13","Vratislavova 64 , Praha 128 00"
"Základní škola a mateřská škola, Praha 3, nám. Jiřího z Lobkovic 22/121","náměstí Jiřího z Lobkovic 121 , Praha 130 00"
"Základní škola, Praha 3, Lupáčova 1/1200","Lupáčova 1200 , Praha 130 00"
"Základní škola, Praha 3, nám. Jiřího z Poděbrad 7,8/1685","náměstí Jiřího z Poděbrad 1685 , Praha 130 00"
"Základní škola, Praha 3, Cimburkova 18/600","Cimburkova 600 , Praha 130 00"
"Základní škola a mateřská škola, Praha 3, Chelčického 43/2614","Chelčického 2614 , Praha 130 00"
"Základní škola Chmelnice, Praha 3, K Lučinám 18/2500","K lučinám 2500 , Praha 130 00"
"Základní škola a mateřská škola Jarov, Praha 3, V Zahrádkách 48/1966","V zahrádkách 1966 , Praha 130 00"
"Základní škola, Praha 3, Jeseniova 96/2400","Jeseniova 2400 , Praha 130 00"
"Základní škola a mateřská škola Jaroslava Seiferta, Praha 3, Vlkova 31/800","Vlkova 800 , Praha 130 00"
"Základní škola Pražačka, Praha 3, Nad Ohradou 25/1700","Nad Ohradou 1700 , Praha 130 00"
"Základní škola s rozšířenou výukou jazyků, Praha 4, Jeremenkova 1003","Jeremenkova 1003 , Praha 147 00"
"Základní škola a mateřská škola ANGEL v Praze 12","Angelovova 3183 , Praha 143 00"
"Základní škola, Praha 4, Bítovská 1","Bítovská 1246 , Praha 140 00"
"Základní škola, Praha 4, Jílovská 1100","Jílovská 1100 , Praha 142 00"
"Základní škola U Krčského lesa, Praha 4, Jánošíkova 1320","Jánošíkova 1320 , Praha 142 00"
"Základní škola, Praha 4, Na Líše 16","Na líše 936 , Praha 141 00"
"Základní škola T. G. Masaryka v Praze 12","Modřanská 1375 , Praha 143 00"
"Základní škola a mateřská škola K Dolům v Praze 12","U Domu služeb 29 , Praha 143 00"
"Základní škola Meteorologická","Meteorologická 181 , Praha 142 00"
"Základní škola s rozšířenou výukou jazyků, Praha 4, Filosofská 3, příspěvková organizace","Filosofská 1166 , Praha 142 00"
